Ticker 1,Ticker 2,P-Value
AFL,NOC,0.0343
AFL,NSC,0.0461
AFL,NTAP,0.0472
AFL,NU,0.0202
AFL,NUE,0.0419
AFL,NWL,0.0500
AFL,NWSA,0.0438
AFL,OMC,0.0370
AFL,ORCL,0.0491
AFL,ORLY,0.0494
AFL,OXY,0.0386
AFL,PAYX,0.0080
AFL,PBI,0.0476
AFL,PEP,0.0375
AFL,PH,0.0495
AFL,PHM,0.0133
AFL,PLD,0.0373
AFL,PM,0.0437
AFL,PRGO,0.0205
AFL,PSX,0.0280
AFL,RF,0.0486
AFL,ROK,0.0424
AFL,RRC,0.0172
AFL,RSG,0.0324
AFL,SCHW,0.0463
AFL,SJM,0.0334
AFL,SLM,0.0066
AFL,SPG,0.0390
AFL,SRE,0.0486
AFL,STT,0.0463
AFL,STX,0.0407
AFL,SUN,0.0438
AFL,SWK,0.0431
AFL,SYK,0.0230
AFL,T,0.0491
AFL,TER,0.0412
AFL,THC,0.0436
AFL,TJX,0.0489
AFL,TRIP,0.0456
AFL,UNH,0.0454
AFL,UNM,0.0211
AFL,URBN,0.0282
AFL,V,0.0144
AFL,VLO,0.0302
AFL,VMC,0.0489
AFL,VRSN,0.0432
AFL,VTR,0.0409
AFL,WAT,0.0492
AFL,WDC,0.0372
AFL,WEC,0.0494
AFL,WFC,0.0416
AFL,WHR,0.0428
AFL,WM,0.0356
AFL,WMB,0.0493
AFL,WMT,0.0271
AFL,WYNN,0.0339
AFL,XEL,0.0476
AFL,XOM,0.0059
AFL,XYL,0.0471
AFL,ZION,0.0500
AIG,BBT,0.0064
AIG,BEAM,0.0067
AIG,DHR,0.0414
AIG,DVA,0.0435
AIG,FDX,0.0342
AIG,GCI,0.0007
AIG,HD,0.0268
AIG,KO,0.0065
AIG,LOW,0.0308
AIG,MRK,0.0254
AIG,MSI,0.0062
AIG,NWL,0.0017
AIG,PCAR,0.0349
AIG,RSG,0.0087
AIG,STI,0.0004
AIG,TE,0.0312
AIG,TMO,0.0131
AIG,VFC,0.0083
AIG,WM,0.0360
AIV,MAT,0.0250
AIV,SJM,0.0330
AIZ,AMT,0.0188
AIZ,CA,0.0130
AIZ,HRB,0.0289
AIZ,HUM,0.0387
AIZ,SNA,0.0216
AIZ,TE,0.0323
AKAM,ALL,0.0208
AKAM,ANF,0.0454
AKAM,AVB,0.0334
AKAM,AZO,0.0351
AKAM,BBT,0.0392
AKAM,BBY,0.0330
AKAM,CME,0.0181
AKAM,CMS,0.0157
AKAM,CNP,0.0018
AKAM,COP,0.0458
AKAM,CRM,0.0420
AKAM,DGX,0.0091
AKAM,DHR,0.0308
AKAM,DOW,0.0233
AKAM,DRI,0.0347
AKAM,DTE,0.0042
AKAM,DVA,0.0409
AKAM,ETR,0.0264
AKAM,EXC,0.0110
AKAM,GILD,0.0034
AKAM,GIS,0.0429
AKAM,HAL,0.0143
AKAM,HIG,0.0389
AKAM,HP,0.0472
AKAM,HPQ,0.0449
AKAM,KR,0.0047
AKAM,L,0.0481
AKAM,MCK,0.0013
AKAM,MNST,0.0176
AKAM,MRK,0.0199
AKAM,MUR,0.0474
AKAM,NBR,0.0479
AKAM,NI,0.0167
AKAM,OXY,0.0458
AKAM,PM,0.0387
AKAM,PNW,0.0313
AKAM,PPL,0.0160
AKAM,RSG,0.0197
AKAM,S,0.0105
AKAM,STI,0.0085
AKAM,T,0.0031
AKAM,TDC,0.0041
AKAM,TGT,0.0029
AKAM,TRV,0.0222
AKAM,VRSN,0.0136
AKAM,VZ,0.0122
AKAM,WEC,0.0043
AKAM,WMB,0.0067
AKAM,XRAY,0.0008
AKAM,XRX,0.0006
AKAM,YUM,0.0388
ALL,AN,0.0479
ALL,ANF,0.0351
ALL,APD,0.0389
ALL,APH,0.0137
ALL,AVB,0.0057
ALL,AVY,0.0130
ALL,AZO,0.0033
ALL,BA,0.0349
ALL,BAX,0.0203
ALL,BBT,0.0378
ALL,BBY,0.0426
ALL,BDX,0.0143
ALL,BK,0.0148
ALL,BMY,0.0430
ALL,BWA,0.0393
ALL,C,0.0402
ALL,CAG,0.0109
ALL,CAH,0.0331
ALL,CL,0.0266
ALL,CLX,0.0085
ALL,CMCSA,0.0248
ALL,CME,0.0202
ALL,CMG,0.0035
ALL,CNP,0.0100
ALL,CPB,0.0181
ALL,CRM,0.0128
ALL,CSCO,0.0393
ALL,CVS,0.0177
ALL,DGX,0.0057
ALL,DHR,0.0160
ALL,DLTR,0.0438
ALL,DOV,0.0230
ALL,DOW,0.0067
ALL,DTE,0.0171
ALL,DUK,0.0176
ALL,DV,0.0114
ALL,DVA,0.0040
ALL,EA,0.0083
ALL,EBAY,0.0173
ALL,EMC,0.0249
ALL,EMN,0.0048
ALL,EOG,0.0352
ALL,EQR,0.0294
ALL,ETR,0.0185
ALL,EW,0.0390
ALL,F,0.0155
ALL,FAST,0.0153
ALL,FDX,0.0357
ALL,FE,0.0264
ALL,FFIV,0.0372
ALL,FIS,0.0192
ALL,FMC,0.0212
ALL,FTI,0.0331
ALL,GCI,0.0414
ALL,GE,0.0127
ALL,GILD,0.0202
ALL,GIS,0.0084
ALL,GLW,0.0211
ALL,GNW,0.0448
ALL,GPC,0.0119
ALL,GS,0.0491
ALL,GWW,0.0499
ALL,HAS,0.0344
ALL,HIG,0.0076
ALL,HP,0.0281
ALL,HPQ,0.0456
ALL,HRB,0.0452
ALL,HRL,0.0232
ALL,IFF,0.0029
ALL,INTC,0.0442
ALL,IR,0.0357
ALL,ISRG,0.0200
ALL,JCI,0.0219
ALL,JNJ,0.0167
ALL,JPM,0.0443
ALL,KLAC,0.0293
ALL,KMX,0.0032
ALL,KR,0.0485
ALL,L,0.0218
ALL,LH,0.0170
ALL,LLY,0.0124
ALL,LRCX,0.0205
ALL,MCD,0.0475
ALL,MCK,0.0088
ALL,MKC,0.0198
ALL,MNST,0.0010
ALL,MO,0.0007
ALL,MOS,0.0320
ALL,MPC,0.0345
ALL,MRK,0.0249
ALL,MSFT,0.0485
ALL,MU,0.0388
ALL,NBR,0.0344
ALL,NEM,0.0150
ALL,NFLX,0.0227
ALL,NI,0.0129
ALL,NOC,0.0345
ALL,NOV,0.0316
ALL,NRG,0.0164
ALL,NWL,0.0282
ALL,OKE,0.0168
ALL,ORCL,0.0469
ALL,ORLY,0.0066
ALL,PBI,0.0242
ALL,PM,0.0381
ALL,PPG,0.0282
ALL,PPL,0.0170
ALL,PRU,0.0293
ALL,RHI,0.0090
ALL,RL,0.0361
ALL,ROK,0.0476
ALL,S,0.0183
ALL,SBUX,0.0482
ALL,SCHW,0.0161
ALL,SE,0.0033
ALL,SHLD,0.0062
ALL,SLB,0.0259
ALL,SO,0.0421
ALL,STI,0.0089
ALL,STX,0.0193
ALL,STZ,0.0293
ALL,T,0.0140
ALL,TDC,0.0112
ALL,TEL,0.0170
ALL,TGT,0.0033
ALL,THC,0.0381
ALL,TJX,0.0141
ALL,TMO,0.0331
ALL,TRV,0.0028
ALL,UNH,0.0191
ALL,UPS,0.0076
ALL,URBN,0.0297
ALL,VFC,0.0228
ALL,VLO,0.0456
ALL,VRSN,0.0281
ALL,VTR,0.0423
ALL,VZ,0.0017
ALL,WAT,0.0197
ALL,WDC,0.0220
ALL,WEC,0.0099
ALL,WHR,0.0176
ALL,WMB,0.0086
ALL,WU,0.0155
ALL,WY,0.0164
ALL,WYNN,0.0331
ALL,XEL,0.0036
ALL,XRAY,0.0039
ALL,XRX,0.0038
ALL,YUM,0.0264
AMAT,DELL,0.0348
AMAT,FCX,0.0338
AMAT,KEY,0.0249
AMAT,MTB,0.0198
AMAT,PNC,0.0307
AMAT,RF,0.0392
AMAT,TXN,0.0157
AMAT,TXT,0.0317
AMAT,USB,0.0260
AMD,BLK,0.0479
AMD,DELL,0.0345
AMD,NVDA,0.0179
AMGN,GME,0.0006
AMGN,ROST,0.0213
AMP,ANF,0.0223
AMP,APD,0.0373
AMP,AVY,0.0305
AMP,BBT,0.0351
AMP,BBY,0.0289
AMP,CB,0.0473
AMP,CF,0.0494
AMP,CMG,0.0475
AMP,CMS,0.0068
AMP,CNP,0.0376
AMP,CRM,0.0423
AMP,CVS,0.0211
AMP,DOV,0.0141
AMP,DTE,0.0206
AMP,DUK,0.0318
AMP,DV,0.0023
AMP,DVA,0.0463
AMP,ED,0.0080
AMP,EOG,0.0303
AMP,EXC,0.0095
AMP,FDX,0.0145
AMP,FLR,0.0121
AMP,FLS,0.0258
AMP,FMC,0.0313
AMP,GCI,0.0250
AMP,GWW,0.0402
AMP,HPQ,0.0483
AMP,IP,0.0202
AMP,IR,0.0101
AMP,IRM,0.0295
AMP,K,0.0391
AMP,KO,0.0253
AMP,LEG,0.0092
AMP,MAR,0.0026
AMP,MCD,0.0042
AMP,NE,0.0130
AMP,NKE,0.0214
AMP,NTAP,0.0385
AMP,NWL,0.0207
AMP,PPG,0.0051
AMP,S,0.0413
AMP,SEE,0.0218
AMP,STI,0.0285
AMP,T,0.0444
AMP,TDC,0.0396
AMP,TGT,0.0286
AMP,TROW,0.0377
AMP,TXN,0.0367
AMP,UPS,0.0463
AMP,VNO,0.0299
AMP,VTR,0.0154
AMP,VZ,0.0291
AMP,WEC,0.0319
AMP,WHR,0.0043
AMP,XRAY,0.0366
AMP,XRX,0.0208
AMP,YUM,0.0306
AMT,PX,0.0445
AMT,TE,0.0015
AMT,TER,0.0488
AMZN,CB,0.0167
AMZN,CCL,0.0481
AMZN,CI,0.0062
AMZN,FHN,0.0288
AMZN,HRB,0.0471
AN,BK,0.0237
AN,C,0.0082
AN,CAG,0.0016
AN,CL,0.0364
AN,COF,0.0014
AN,FTI,0.0155
AN,GS,0.0060
AN,JPM,0.0002
AN,LH,0.0242
AN,MKC,0.0385
AN,MS,0.0133
AN,NTRS,0.0232
AN,RL,0.0174
AN,SCHW,0.0449
AN,WFC,0.0197
AN,WU,0.0228
ANF,DHR,0.0295
ANF,EXC,0.0368
ANF,MRK,0.0410
ANF,PRU,0.0066
ANF,RSG,0.0125
AON,BMY,0.0230
AON,CF,0.0434
AON,EFX,0.0311
AON,INTU,0.0459
AON,MKC,0.0392
AON,MSFT,0.0494
AON,PG,0.0276
