Ticker 1,Ticker 2,Cointegration P-Value,Hedge Ratio
ALL,GD,0.0249,0.7877010964826485
ALL,LDOS,0.0426,1.027323954552057
ALL,SPG,0.0412,1.1032478502521414
ALL,TRV,0.0136,1.0379272856839494
ALL,VZ,0.0478,6.877809882370608
ALLE,APA,0.0148,-1.569847169338693
ALLE,AXP,0.0499,0.28677505283706056
ALLE,BLK,0.0365,0.13324430730553102
ALLE,DTE,0.0399,1.248460594031085
ALLE,DVA,0.0313,0.382805139753648
ALLE,EFX,0.0034,0.32597251093349155
ALLE,EQR,0.0359,1.723387910505884
ALLE,ESS,0.0358,0.33624450826827623
ALLE,FFIV,0.0232,0.5127770660459664
ALLE,GNRC,0.0027,0.3617072216583224
ALLE,HD,0.0157,0.34286763097207873
ALLE,HUM,0.0037,-0.14510146081472508
ALLE,IQV,0.0363,0.580817243024772
ALLE,LOW,0.0114,0.5811464128640926
ALLE,SPG,0.0332,0.5246439230429651
ALLE,SW,0.049,1.7688774167536623
ALLE,TRV,0.0335,0.466333975908797
ALLE,VZ,0.0325,2.8439200102866744
AMAT,AMZN,0.0045,1.1830678970240347
AMAT,AOS,0.0412,3.8270626800543384
AMAT,APA,0.0345,-6.092635049341621
AMAT,CMG,0.0242,3.669444321267371
AMAT,COIN,0.023,0.5567121103902142
AMAT,COR,0.0311,1.24173140503166
AMAT,DECK,0.005,1.1278230322332192
AMAT,DELL,0.0104,1.1803301185971258
AMAT,ETN,0.0335,0.6640594793797941
AMAT,GNRC,0.01,1.2205717762794044
AMAT,HUM,0.0217,-0.5332093562524151
AMAT,INVH,0.0111,16.228845621105656
AMAT,IR,0.0308,2.591813073031792
AMAT,MCK,0.0023,0.5088142466004566
AMAT,MOS,0.0492,-5.110189851764623
AMAT,NFLX,0.0443,0.2976110731249072
AMAT,NXPI,0.0066,1.1154626311269569
AMAT,OTIS,0.042,4.679279018875848
AMAT,TEL,0.0473,3.1878599547835313
AMAT,WBD,0.047,-13.95746024124811
AMCR,D,0.0006,0.13507542895562946
AMCR,DGX,0.0062,0.07353640522089674
AMCR,DOC,0.0142,0.33168787130355215
AMCR,KDP,0.0205,0.30127926513739
AMCR,NEE,0.0121,0.08183533365052201
AMD,AME,0.0044,2.250821489317673
AMD,AOS,0.0058,3.442289632104998
AMD,APA,0.0241,-5.696626729001425
AMD,BLDR,0.0276,0.815203085131137
AMD,CHD,0.0455,3.3803583024904507
AMD,CMG,0.0272,3.100607121775092
AMD,COR,0.0014,1.1055067113194452
AMD,CRM,0.0025,0.7601430334281367
AMD,CSX,0.0264,13.2803110190726
AMD,DDOG,0.0364,1.6435938049062275
AMD,FAST,0.0049,8.354552612414066
AMD,GWW,0.0461,0.23632723357888666
AMD,ITW,0.0276,1.8646323653458448
AMD,MAR,0.0182,1.0647200369457503
AMD,ORLY,0.0136,4.6166187979129125
AMD,PCAR,0.0148,2.089300066254428
AMD,PTC,0.0087,1.5169962994197987
AMD,SYK,0.0129,0.8332702252383795
AMD,UBER,0.0055,2.069734508235253
AMD,V,0.0047,1.3117531848242894
AMD,VMC,0.0188,1.0261386444959526
AME,AMZN,0.0029,0.39489656278300794
AME,APA,0.0052,-1.9281136663368141
AME,APTV,0.0068,-0.638656054775083
AME,AVGO,0.0486,0.35260170822134884
AME,BIIB,0.0148,-0.34118863207513783
AME,BLDR,0.0021,0.33498444156947127
AME,BMY,0.0409,-1.3669759053765371
AME,BR,0.0321,0.49986374899299796
AME,CAH,0.0215,1.0275699912808758
AME,CDNS,0.0199,0.2883940362469536
AME,CHD,0.0256,1.4030425970419027
AME,CMG,0.0144,1.2225401820513278
AME,COF,0.027,0.6776005340216215
AME,COIN,0.0364,0.1850888022005504
AME,COR,0.0072,0.4525742888788418
AME,CPAY,0.0479,0.35021577169694057
AME,CPRT,0.0297,1.6794732099548249
AME,CRM,0.0289,0.293504898511463
