Ticker 1,Ticker 2,Cointegration P-Value,Hedge Ratio
ADP,DE,0.0029,0.20142917077180902
ADP,DHI,0.0259,-0.23489918107312543
ADP,DHR,0.0128,-0.23632354745571066
ADP,DLTR,0.0296,0.2699736007117623
ADP,DRI,0.0196,0.3530690285848979
ADP,DV,0.0472,-0.4014644964404961
ADP,DVA,0.032,-0.23814991908824873
ADP,ED,0.0475,0.3574467071774113
ADP,EIX,0.0183,-0.46226389023972075
ADP,EMN,0.0437,-0.23554235231852
ADP,EQR,0.0482,-0.1370242375415719
ADP,EQT,0.0203,1.1310659869721083
ADP,FDX,0.0212,-0.14746423289383193
ADP,FIS,0.0454,-0.18998950865602793
ADP,FITB,0.0408,-0.2749294884513289
ADP,FLR,0.039,-0.2273791818426044
ADP,FLS,0.0424,-0.16134989351376045
ADP,FMC,0.0311,-0.5725048348716846
